yDay,CHL.mean,CHL.median,CHL.sd,CHL.q5,CHL.q10,CHL.q25,CHL.q75,CHL.q90,CHL.q95,CHL.min,CHL.max
197,0.42766772000000003,0.4035228,0.09592502676190402,0.3242268,0.3361296,0.371838,0.506252,0.5291418800000001,0.53677184,0.312324,0.5444018
205,0.4257762975,0.418901075,0.08620991930292411,0.34078313250000003,0.35400226500000004,0.3936596625,0.45101771,0.503050508,0.5203947739999999,0.327564,0.53773904
213,0.28386877666666666,0.29383686,0.028888703042979167,0.25556808599999997,0.25982017199999996,0.27257643,0.300145165,0.303930148,0.305191809,0.251316,0.30645347
221,0.375631392,0.345955,0.058748017807150915,0.33327914,0.33348027999999996,0.3340837,0.3943431,0.440155536,0.455426348,0.333078,0.47069716
229,0.31121485666666665,0.286751,0.0547076890805272,0.27438229999999997,0.27575659999999996,0.27987949999999995,0.330318285,0.35645865599999993,0.36517211299999996,0.273008,0.37388557
237,0.27629679,0.284559,0.07527824301624077,0.177162816,0.20172311199999998,0.275404,0.31814685,0.337721688,0.344246634,0.15260252,0.35077158
245,0.278402714,0.26204,0.06991770646436016,0.21972662999999998,0.22813159,0.25334647,0.26833943,0.34551537199999993,0.371240686,0.21132167,0.396966
253,0.285283368,0.29661798,0.03262019872423021,0.24106300600000002,0.25374401199999996,0.29178703,0.298303,0.306117298,0.308722064,0.228382,0.31132683
261,0.335799578,0.31995314,0.03861351651067823,0.3009772,0.3021219,0.305556,0.368524,0.37848895000000005,0.3818106,0.2998325,0.38513225
269,0.33489826,0.319596,0.06709482802715087,0.284966296,0.288069322,0.2973784,0.32478163,0.400435852,0.42565392599999996,0.28186327,0.450872
277,0.340685426,0.34127924,0.06278445545367405,0.266568064,0.283393128,0.33386832,0.352325,0.396656942,0.41143425599999994,0.249743,0.42621157
285,0.30090981,0.301949785,0.01830397364471621,0.283137075,0.28402515000000006,0.286689375,0.31617021999999995,0.31696249,0.31722658,0.28224900000000003,0.31749067
293,0.3732794625,0.31882,0.1177947255730732,0.30665286999999997,0.30723453999999994,0.30897955,0.3831199125,0.48289195500000004,0.5161493024999999,0.3060712,0.54940665
301,0.4995405325,0.442963865,0.19837683010439558,0.34356658500000004,0.36038817,0.41085292500000004,0.5316514725,0.6839542290000001,0.7347218144999998,0.326745,0.7854894
309,0.47150457,0.47150457,NA,0.47150457,0.47150457,0.47150457,0.47150457,0.47150457,0.47150457,0.47150457,0.47150457
317,0.6243411175,0.565038735,0.18332883195113425,0.4860856805,0.493321361,0.5150284025,0.6743514500000001,0.8028027800000002,0.8456198899999999,0.47885,0.888437
325,0.4720335333333333,0.480745,0.07877774414039118,0.398410426,0.407558712,0.43500357,0.51341923,0.533023768,0.539558614,0.38926214,0.54609346
333,0.509733575,0.509733575,0.12276869252240678,0.43160405749999997,0.440285115,0.4663282875,0.5531388625,0.5791820350000001,0.5878630925,0.422923,0.59654415
349,0.647784175,0.647784175,0.17073443249605874,0.5391294475,0.5512021950000001,0.5874204375000001,0.7081479125000001,0.7443661549999999,0.7564389025,0.5270567,0.76851165
357,0.5321809399999999,0.5321809399999999,0.18791215631822014,0.412594376,0.425881772,0.46574395999999996,0.59861792,0.638480108,0.6517675039999999,0.39930698,0.6650549
