yDay,CHL.mean,CHL.median,CHL.sd,CHL.q5,CHL.q10,CHL.q25,CHL.q75,CHL.q90,CHL.q95,CHL.min,CHL.max
5,0.49970737600000004,0.456649,0.22082621854642823,0.261476216,0.302239432,0.42452908,0.574192,0.7231490799999999,0.77280144,0.220713,0.8224538
13,0.435049586,0.34338,0.2540561294113202,0.213443184,0.23962013799999998,0.318151,0.475363,0.7007978199999998,0.77594276,0.18726623,0.8510877
21,0.339533644,0.309701,0.05244852238599703,0.29920944,0.29989933,0.301969,0.36982667,0.398521868,0.40808693400000007,0.29851955,0.417652
29,0.360645584,0.372938,0.09477142121787707,0.252439996,0.265986972,0.3066279,0.394056,0.45205019999999996,0.4713816,0.23889302,0.490713
37,0.29129214000000003,0.29259846,0.07053066786925245,0.217483992,0.22380774399999998,0.242779,0.316139,0.362726,0.378255,0.21116024,0.393784
45,0.2681993625,0.23456349999999998,0.12970221139296595,0.16222018249999998,0.174080915,0.20966311250000003,0.29309975,0.38922650000000003,0.42126874999999997,0.15035945,0.453311
53,0.212878758,0.195432,0.08016782589211098,0.145998432,0.15131407400000002,0.167261,0.213568,0.29389719999999997,0.32067359999999995,0.14068279,0.34745
61,0.19391838249999999,0.180616465,0.05280449542718775,0.1498666495,0.153832699,0.1657308475,0.208804,0.24464560000000002,0.25659279999999995,0.1459006,0.26854
69,0.324420364,0.227566,0.2521351141454887,0.143100578,0.144791156,0.14986289,0.354534,0.5910509579999998,0.6698899439999999,0.14141,0.74872893
77,0.3279357,0.261216,0.23567350403549825,0.14565509999999998,0.1584952,0.1970155,0.42549605,0.52406408,0.55692009,0.132815,0.5897761
85,0.182029925,0.17503934999999998,0.049476151097498484,0.1358788,0.1394536,0.150178,0.20689127499999999,0.23019871000000003,0.237967855,0.132304,0.245737
93,0.18892335500000002,0.19282099,0.027224859430857798,0.159383674,0.16245590799999998,0.17167261,0.210071735,0.212272694,0.21300634699999998,0.15631144,0.21374
101,0.20857238,0.182978,0.057231938799705194,0.170041526,0.17147891199999998,0.17579107,0.2285565,0.2559036,0.2650193,0.16860414,0.274135
109,0.37730336,0.37730336,NA,0.37730336,0.37730336,0.37730336,0.37730336,0.37730336,0.37730336,0.37730336,0.37730336
117,0.20843250000000002,0.20843250000000002,0.02998910569690267,0.18934755,0.19146810000000003,0.19782975,0.21903525000000001,0.22539689999999998,0.22751745,0.187227,0.229638
125,0.26085599,0.26085599,0.046198128584177496,0.23145568100000002,0.234722382,0.244522485,0.277189495,0.286989598,0.290256299,0.22818898,0.293523
133,0.2300965,0.2300965,0.048768447591655,0.19906045000000003,0.2025089,0.21285425000000002,0.24733875000000002,0.2576841,0.26113255,0.195612,0.264581
141,0.143874,0.143874,0.010162538659213058,0.1374066,0.1381252,0.140281,0.14746700000000001,0.1496228,0.15034140000000001,0.136688,0.15106
149,0.23810703249999998,0.21173488999999998,0.10915326724220807,0.147909017,0.150940034,0.160033085,0.28980883749999997,0.34637174500000006,0.3652260475,0.144878,0.38408035
157,0.24583494,0.24583494,0.0011270433563976088,0.245117694,0.24519738800000002,0.24543647000000002,0.24623340999999999,0.246472492,0.246552186,0.245038,0.24663188
165,0.18488533499999998,0.185023465,0.014363467397557603,0.16962654749999997,0.171644745,0.1776993375,0.19220946249999998,0.198015421,0.1999507405,0.16760835,0.20188606
173,0.15422376333333335,0.15205729,0.005489579767890551,0.150338929,0.15052985800000002,0.151102645,0.156261645,0.158784258,0.15962512899999998,0.150148,0.160466
181,0.24635281499999998,0.18594528,0.19260791284201065,0.0998646,0.10440119999999999,0.11801099999999998,0.31428709499999996,0.436630458,0.47741157899999986,0.095328,0.5181927
