time,CHL
2018-03-26,0.14976345
2018-04-03,0.13999897
2018-04-11,0.13816345
2018-04-19,0.17191479
2018-04-27,0.13442303
2018-05-13,0.2268877
2018-05-21,0.37023222
2018-05-29,0.2812368
2018-07-08,0.2783482
2018-07-16,0.24570404
2018-08-01,0.27427
2018-08-09,0.1780516
2018-08-17,0.21016115
2018-08-25,0.25776538
2018-09-02,0.1450798
2018-09-10,0.15160516
2018-09-26,0.12076264
2018-10-12,0.12101616
2018-10-20,0.47646952
2018-10-28,0.13952771
2018-11-05,0.1533021
2018-11-13,0.19878665
2018-11-21,0.2077112
2018-11-29,0.21618336
2019-01-05,0.6641696
2019-01-13,0.4032291
2019-01-21,0.46962228
2019-01-29,0.2805355
2019-02-06,0.1770159
2019-02-22,0.38987064
2019-03-02,0.4493684
2019-03-10,0.4264359
2019-03-26,0.20670637
2019-04-03,0.11301286
2019-04-19,0.19982181
2019-04-27,0.1323417
2019-05-13,0.17369567
2019-06-06,0.18955556
2019-06-14,0.14382122
2019-07-08,0.25180623
2019-07-16,0.21936898
2019-07-24,0.16912384
2019-08-01,0.14992297
2019-08-09,0.21346506
2019-08-17,0.17773306
2019-08-25,0.20782273
2019-09-02,0.15018217
2019-09-10,0.1136197
2019-09-18,0.11987418
2019-10-12,0.1634559
2019-10-20,0.23777217
2019-10-28,0.10332199
2019-11-05,0.0851405
2019-11-13,0.13836077
2019-11-21,0.08763814
2019-11-29,0.151494
2019-12-07,0.14185373
2019-12-15,0.13990659
2019-12-31,0.1328858
2020-01-05,0.1338624
2020-01-13,0.29555577
2020-01-21,0.39285642
2020-01-29,0.23318583
2020-02-06,0.30892584
2020-02-14,0.31857136
2020-02-22,0.4173046
2020-03-01,0.25276682
2020-03-09,0.18031946
2020-03-17,0.26472524
2020-03-25,0.21651328
2020-04-02,0.17012528
2020-04-10,0.14968158
2020-04-18,0.16104181
2020-04-26,0.14929794
2020-05-04,0.15149315
2020-05-12,0.26223025
2020-05-28,0.2888153
2020-06-05,0.11754304
2020-06-13,0.11719534
2020-06-21,0.20948103
2020-06-29,0.2026853
2020-07-07,0.29129884
2020-07-15,0.42110428
2020-07-23,0.23808224
2020-07-31,0.27633893
