time,CHL
2017-10-28,1.0306834
2017-11-05,1.1784953
2017-11-13,0.9821823
2017-11-21,1.4143467
2017-11-29,1.3010557
2017-12-07,1.0920631
2017-12-15,1.0165787
2017-12-23,1.2308502
2017-12-31,0.6281771
2018-01-05,0.91890275
2018-01-13,0.7357254
2018-01-21,0.89703584
2018-01-29,0.9419055
2018-02-06,1.0617297
2018-02-14,0.8644933
2018-02-22,0.9280735
2018-03-02,0.88838553
2018-03-10,0.92615914
2018-03-18,1.0168921
2018-03-26,1.008842
2018-04-03,1.0843966
2018-04-11,0.9217195
2018-04-19,1.0969799
2018-04-27,1.0718317
2018-05-05,1.408964
2018-05-13,0.9648849
2018-05-21,1.3026342
2018-05-29,1.2130011
2018-06-06,1.2018068
2018-06-30,1.1820931
2018-07-16,1.1744281
2018-07-24,0.99256766
2018-08-01,1.0208021
2018-08-09,0.87194234
2018-08-17,1.1152341
2018-08-25,0.8926978
2018-09-02,1.0366808
2018-09-10,1.0006044
2018-09-18,0.8758448
2018-09-26,0.7619467
2018-10-04,0.92893106
2018-10-12,0.90221727
2018-10-20,0.77204937
2018-10-28,0.7112686
2018-11-05,1.0280331
2018-11-21,0.98884106
2018-11-29,1.0042486
2019-01-05,1.1273701
2019-01-13,1.0356015
2019-01-21,1.6078405
2019-01-29,1.3261175
2019-02-06,0.98969793
2019-02-14,0.76862323
2019-02-22,1.1873236
2019-03-02,1.0055643
2019-03-10,0.9488031
2019-03-18,0.9394622
2019-03-26,1.0329479
2019-04-03,1.0877744
2019-04-11,1.0825601
2019-04-19,1.2445269
2019-04-27,1.117103
2019-05-05,1.0448067
2019-05-13,0.8911243
2019-05-21,1.4029181
2019-06-06,0.9455184
2019-06-22,1.187023
2019-06-30,1.3295678
2019-07-08,1.2475431
2019-07-16,1.0405574
2019-07-24,1.2264675
2019-08-01,1.0356728
2019-08-09,1.2022928
2019-08-17,1.0348128
2019-09-02,0.9348
2019-09-10,0.91544753
2019-09-18,0.92576206
2019-09-26,0.78665346
2019-10-04,0.85236293
2019-10-12,0.7527194
2019-10-20,0.8246861
2019-10-28,1.0484179
2019-11-05,1.0265833
2019-11-21,2.2865982
2019-11-29,2.4888556
2019-12-07,1.4434526
2019-12-15,0.83335537
2019-12-23,0.8636468
2019-12-31,0.86184037
2020-01-05,2.2744472
2020-01-13,1.18929
2020-01-21,1.1134942
2020-01-29,1.1176543
2020-02-06,0.85936016
2020-02-14,1.027429
2020-02-22,1.1021821
2020-03-01,0.746802
2020-03-09,0.8068538
2020-03-17,1.0713404
2020-03-25,1.1477311
2020-04-02,1.0146224
