time,CHL
2019-12-23,0.910513
2020-01-21,1.4451033
2020-01-29,0.82823336
2020-02-22,0.7336295
2020-03-01,6.6196719999999996
2020-03-09,1.244162
2020-03-17,2.225852
2020-03-25,0.9228864
2020-04-10,0.70616966
2020-04-18,0.99442995
2020-04-26,1.2081043
2020-05-04,1.803899
2020-05-12,1.2799301
2020-05-20,0.915106
2020-05-28,0.56141573
2020-06-05,0.51630795
2020-06-13,0.5096852
2020-06-21,0.40120718
2020-07-23,0.29820028
2020-07-31,0.4472704
2020-08-08,0.3850825
2020-08-16,0.16279621
2020-09-09,0.38733208
2020-09-17,0.72258246
2020-09-25,0.80536336
2020-10-03,0.5162954
2020-10-19,0.48987067
2020-11-04,1.1347653
2020-11-12,0.6298244
2020-11-20,1.2340956
